#SGD	alpha 0	alpha 7	alpha 14	alpha 21	alpha 28	alpha 35	alpha 42	alpha 49	alpha 56	alpha 63	alpha 70	alpha 77	alpha 84	alpha 91	alpha 98	alpha 105	alpha 112	alpha 119	Elu 0	Elu 30	Elu 60	Elu 90	Elu 120	Elu 150	Elu 180	Elu 210	Elu 240	Elu 270	Elu 300	Elu 330	Elu 360	Elu 390	cdc15 10	cdc15 30	cdc15 50	cdc15 70	cdc15 90	cdc15 110	cdc15 130	cdc15 150	cdc15 170	cdc15 190	cdc15 210	cdc15 230	cdc15 250	cdc15 270	cdc15 290	spo 0	spo 2	spo 5	spo 7	spo 9	spo 11	spo5 2	spo5 7	spo5 11	spo- early	spo- mid	heat 0	heat 10	heat 20	heat 40	heat 80	heat 160	dtt 15	dtt 30	dtt 60	dtt 120	cold 0	cold 20	cold 40	cold 160	diau 9	diau 11	diau 13	diau 15	diau 17	diau 19	diau 21
S000001178	-0.62	-0.49	-0.25	-0.89		-0.34	0.14	0.03	0.25		0.23	-0.4	-0.49	-0.69	-0.71	-0.79	-0.34	-0.74	-0.58	0.43	0.15	-0.43	0.07	-0.69	-0.6	-0.6	-0.36	-0.67	-0.76	-0.47	-0.47	-0.71	-1.15	-1.06	-0.67	-0.47	-0.01	0.16	0.1	0.23	-0.03	0.14	0.3	0.4		-0.07	0.14	-0.6	-0.51	-0.56	-0.94	-0.89	-0.49	-0.3	-0.51	-0.43	0.03	-1	-0.29	-0.56	-0.34	-0.51	-0.86	-0.4	-0.64	-0.45	-0.2	-0.64	-0.67	0.1	-0.67	-1.03	-0.15	-0.03	0.01	-0.22	-0.17	-0.23	-0.22
S000000214	-2.12	-2.25	-1.64	-0.3	1.2	0.6	0.38	0.71	-0.71	-1.09	-1.43	-0.4	0.65	1.01	0.93	0.26	0.04	-0.51	-0.36	-1.32	-1.18	-0.43	0.1	1.12	1.07	1.08	1.04	0.78	0.25	0.8	0.06	-0.2	-0.79	-0.81	1.81	1.56	-0.01	-0.94	-0.81	1.12	1.82	1.13	0.23	-0.71	-0.14	0.16	0.69	0.18	0.46	0.32	0.25	-0.45	-0.49	0.5		-1.12	1.44	-0.36	-0.27	-0.49	-1.18	-2.06	-0.64	-0.97	0.4	0.03		-0.36	-0.23	-0.14	-0.3	-0.69	0.46	0.37	0.49	0.1	0.34	1.01	-0.09
S000004976	-2.25	-1.89	-2	-0.43	0.4	0.82	0.19	-0.6	-0.79	-1.25	-1.47	-0.54	0.36	0.58	0.53	-0.25	-0.3	-0.81	-0.4	-1.03	-0.17	-0.27	0.28	0.81	1.02	1.3	0.8	0.48	0.52	0.32	0.16	-0.32	-0.81	-0.92	1.37	1.52	0.08	-1.03	-0.71	0.95	1.69	1.06	0.18	-0.84	-0.4	0.1	0.67	-0.32	0.19	-0.01	-0.09	-0.32	-0.81	0.24	0.04	-1.03	1.27	-0.34	-0.34	-0.62	-1.06	-2.32	-0.84	-0.04	0.33	0.04	-0.22	-0.69	-0.62	-0.23	-0.84	-1.09	0.12	-0.06	0.03	-0.01	0.07	0.82	-0.25
S000004975	-2.84	-2.56	-2.32	-0.32	0.68	0.82	0.37	-0.36	-0.74	-1.56	-1.32	-0.67	0.56	0.38	0.82	-0.03	-0.47	-0.92	-1.51	-1.47	-1.56	-0.86	-0.17	0.63	0.98	1.14	0.84	0.56	0.57	0.52	-0.1	-0.89	-1.12	-0.86	1.7	1.58	-0.27	-1.32	-0.89	1.2	1.99	0.67	0.16	-0.71	-0.15	0.36	1.01	-0.01	0.29	0.38	0.31	-0.29	-0.97	0.15	0.08	-1	1.51	-0.06	-0.45	-0.97	-2	-2.25	-1.03	-0.97	0.36	0.42	-0.12	-0.6	-0.32	-0.45	-0.86	-1.79		-0.06	0.24	0.08	0.04	0.14	-0.64
S000000213	-2.84	-3.18	-1.94	-0.64	1.04	1.17	0.2	0.48	-0.79	-0.81	-1.22	-0.49	0.5	0.53	0.88	0.19	-0.4	-0.74	-2.12	-2.25	-1.94	-1.43	-0.47	-0.15	0.6	0.64	0.46	0.07	-0.27	0.08	-0.49	-1.25	-0.34	-0.84	1.71	1.5	-0.1	-1.32	-0.81	1.38	2	1.29	0.23	-0.3	0.03	0.48	1.21	0.11	0.55	0.53	0.25	-0.15	-0.76	0.12	0.04	-1.06	1.61	-0.1	-0.25	-0.92	-1.69	-2.25	-0.86	-0.94	0.32	0.4	-0.2	-0.56	-0.04	-0.22	-0.76	-1.56	0.06	-0.01	0.2	-0.14	0.34	-0.29	-0.51
S000002632	-1.94	-2	-1.79	-0.4	0.86	0.72	0.51	-0.51	-0.56	-1.15	-1.18	-0.69	0.55	0.51	0.66	-0.12	-0.36	-0.86	-1.18	-1.43	-1.09	-0.84	-0.06	0.52	0.58	1.06	0.7	0.6	0.64	0.42	0.06	-0.51	-1.12	-0.54	1.83	1.76	-0.1	-1.6	-0.89	1.12	1.83	1.4	0.21	-1.25	-0.32	0.15	0.76	0.08	0.55	0.59	0.23	-0.71	-0.92	0.2	-0.4	-1.56	1.55	-0.1	-0.29	-0.6	-1.56	-2	-0.58	-1.09	0.12	-0.1	-0.23	-0.92	-0.1	-0.07	-0.23	-0.86	0.36	0.23	0.19	-0.01	0.03	-0.2	-1
S000000099	-2.12	-3.06	-1.6	-1.06	0.48	0.63	0.39	0.54	-0.92	-0.89	-1.69	-0.67	0.26	0.76	0.66	0.79	-0.45	-0.6	-1.69	-0.74	-0.25	-1	-0.4	0.38	0.5	0.98	0.76	0.49	0.33	0.39	-0.12	-0.64	-1.32	-0.86	1.23	1.46	0.1	-1.36	-1.15	1.08	1.76	0.82	0.03	-1.18	-0.84	-0.22	0.25	0.31	0.4	-0.04	-0.3	-0.84	-1.36	0.24	-0.22	-0.92	1.12	-0.81	-0.17	-0.92	-1.56	-2.84	-0.97	-0.84	-0.14	-0.15	-0.23	-1.09	-0.32		-1.74	-1.32	0.12	0.33	0.5	0.4	0.18	0.18	-0.84
S000002633	-2	-2.84	-1.94	-0.81	0.86	0.64	0.58	-0.45	-0.71	-1.36	-1.43	-1	0.44	0.61	0.93	0.04	-0.36	-0.89	-1.22	-1.32	-1.29	-1.15	-0.47	0.33	0.76	0.59	0.62	0.23	0.3	0.52	-0.32	-1.03	-1.25	-0.89	1.62	1.8	0.11	-1.47	-0.76	1.3	1.86	1.29	0.2	-1	-0.67	-0.17	0.45	-0.25	0.15	-0.1	-0.38	-1	-1.56	0.29	-0.29	-1.56	0.77	-1	-0.34	-0.84	-2.18	-2.74	-0.86	-1.18	0.19	-0.09	-0.38	-1.06	0.24	-0.38	-0.67	-1.47	0.26	0.48	0.62	0.31	0.46	0.03	-0.67
S000000098	-2.47	-2.4	-2.06	-0.62	0.8	0.28	0.43	0.2	-0.74	-1.18	-1.51	-0.43	0.46	0.89	0.87	0.88	-0.25	-0.42	-1.84	-1.43	-1.32	-0.79	-0.1	0.51	0.97	0.68	0.66	0.21	0.33	0.38	-0.34	-0.86	-0.12	-1.4	1.23	0.85	-0.69	-1.84	-1.4	0.93	1.38	0.36	-0.47	0.46	-0.92	-0.6		0.39	0.71	0.74	0.25	-0.29	-0.45	0.58	-0.01	-0.84	1.83	0.12	-0.2	-0.23	-1.36	-1.94	-0.07	-0.54	0.23	-0.4	0.04	-0.84	0.08	0.07	-1.29	-0.84	0.34	0.32	0.1	-0.09		0.04	-0.58
S000002660	-0.54	-0.14	-0.36	-0.32	-0.34	-0.12	-0.36	-0.3	-0.06	0.06	-0.03	-0.51	-0.17	-0.4	-0.18	-0.04	-0.22		0.14	0.16	0.24	-0.29	-0.3		0.11	0.2	0.12	0.28	0.18	0.18	0.08	0.07	-0.79	-0.49	0.01	-0.03	-0.36	-0.38	-0.86	-0.2	-0.43	-0.38	-0.36	-0.23	-0.64	-0.64	-0.34	0.04	-0.18	-0.03	-0.18	-0.25	0.21	0.06	-0.17	0.06	1.43	1.24	-0.29	-0.18	-0.86	-0.51	-0.07	-0.25	0.16	-0.56	-0.34	-0.42	-0.4	0.23	-0.47	-0.58	-0.25	-0.12	0.03	-0.18	-0.56	0.26	-0.18
S000002636	-0.29	-0.36	-0.36	0.01	-0.3	-0.17	-0.09	-0.34	-0.25	-0.06	-0.1	-0.2	-0.23	-0.15	-0.47		-0.3	0.03	-0.03	0.06	-0.18	0.11	-0.06	0.07	-0.01	0.06	0.12	-0.03	0.06	-0.25	0.21	-0.01	-0.14		-0.14		-0.09	-0.1	-0.12	-0.4	-0.22	-0.06	-0.27	-0.32	-0.07	-0.29	-0.29	0.06	-0.38	-0.29	-0.25	-0.34	-0.36	-0.29	-0.1	-0.29	0.66	1.03	-0.15	-0.1	-0.18	-0.32	0.06	-0.29	-0.4	-0.15	-0.15	-0.27	-0.22	0.14	-0.09	-0.23	-0.62	-0.17	0.11	-0.47	-0.69	0.2	-0.17
S000002886	-0.49	-0.18	-0.47	-0.07	-0.74	0.06	-0.49	-0.01	-0.07	0.15	-0.27	-0.29	-0.07	0.14	-0.38	-0.34	-0.4	-0.25	0.21	-0.06	-0.17	-0.84	-0.49	-0.23	-0.09	-0.27	-0.36	-0.23	-0.04	-0.07	-0.32	-0.03		0.14	0.01	-0.22	-0.64	0.25	-0.01	0.12	0.3	-0.36	-0.2	0.63	-0.49	-0.15	-0.84	0.01	-0.34	-0.18	0.12	0.33	0.36	-0.4	0.24	0.07	-0.12	0.06	-0.07		0.1	-0.18	-0.42	-0.34	-0.43	-0.25	-0.54	-0.34	-0.94		-0.67	-0.89	-0.06	-0.04	0.38	-0.12	-0.36	0.37	-0.15
S000004352	-0.74	-0.14	-0.42	-0.22	-0.32	-0.2	-0.29	-0.6	-0.01	0.1	-0.42	-0.29	-0.43	-0.51	-0.51	-0.25	-0.2	-0.3	-0.18	0.16	-0.34	-0.38	-0.45	-0.54	-0.38	-0.01	-0.14	-0.09	-0.01	-0.12	0.12	0.1	-0.34	-0.34	-0.17	-0.22	-0.42	-0.12	-0.27	-0.49	0.7	-0.4	-0.22	0.46	-0.69	-0.09	0.01		0.31	0.29	0.16	0.96	-0.36	-0.14	-0.54	-1.18	0.63	1.15		0.23	0.04	-0.64	0.21	-0.32	-0.32	-0.23		-0.12	-0.69	0.77	-1.4	-1.18	-0.18	0.07	0.33	0.16	-0.27	0.5	-0.12
S000001160	-0.34	-0.4	-0.14	-0.17	-0.1	-0.06	-0.12	0.1	-0.06	-0.32	0.06		-0.1	-0.07	-0.17	0.11	-0.34	-0.18	-0.47	-0.74	-0.45	-0.36	-0.25	-0.22	-0.01	-0.09	-0.17	-0.25	0.01	-0.22	-0.29	-0.15	-0.67	-0.45	-0.04	-0.51	-0.74	-1.74	-0.42	-0.14	-0.01	-0.56	-0.42	0.59	-0.22	-0.42	-0.18	0.07	0.24	0.43	0.52	0.01	0.24	-0.38	-0.23	-0.2	0.03	0.63	-0.34	-0.25	-0.45	-0.45	-0.23	-0.23	-0.25	-0.18	-0.27	-0.54	-0.54	0.48	-0.86	-0.67	-0.03	0.1	0.43	-0.25	-0.42	0.42	-0.09
S000006229	-0.56	-0.17	-0.67	-0.56	-0.84	-0.07	-0.3	-0.4	-0.29	-0.15	-0.76	-0.14	-0.4	-0.6	-0.71	-0.4	-0.51	-0.27	0.36	-0.25	0.11	-0.25	-0.42	-0.23	-0.36	-0.38	-0.43	-0.47	0.01	-0.32	-0.56	0.03		-0.07	-0.17	-0.06	-0.76	-0.47	-0.49	-0.29	-0.27	-0.67	-0.47	0.24	-0.18	-0.42	-0.86	-0.34	-0.38	-0.06	-0.03	0.15	-0.18	-0.25	0.07	-0.2	0.01	0.82	-0.14	0.14	0.07	-0.3	-0.71	-0.58	-0.06	0.58	0.23	-0.51	-0.6	0.34	-0.4	-0.67	-0.17	-0.36	-0.3	-0.25	-0.42	0.37	0.2
S000005403	-0.23	-0.54	-0.32	-1.47	-0.38	-0.15	0.06	-0.15	-0.23	-0.3	-0.56	-0.47	-0.27	-0.36	-0.29	-0.64	-0.56	0.31	0.04	-0.92	-0.56	-0.2	0.01	-0.01	-0.3	0.04	-0.07	-0.27	-0.06	-0.14	-0.23	-0.03	-0.32	-0.12	0.11	-0.34	-0.36	-0.45	-0.45	-0.76	-0.34	-0.42	-0.09	-0.6	-0.49	-0.34	-0.56	-0.27	-0.32	-0.01	0.28		-0.22	-0.3	-0.01	-0.64	-0.17	0.85	-0.18	-0.18	0.08	0.14	0.08	-0.01	-0.06	0.12	0.18	-0.17	-0.62	0.61	-0.47	-0.23	-0.25	-0.45	-0.09	-0.14	-0.23	0.38	
S000002264	-0.67	-0.06	-0.01	-0.04	-0.62	-0.06	-0.34	-0.04	-0.03	0.04	0.26	-0.14	-0.09		-0.2	0.43	-0.27	0.04	0.37	0.01	0.58	-0.15	0.01	0.01	0.03	0.2	0.23	0.1	0.08	0.11	0.2	0.14	-0.58	-0.3	0.03	-0.42	-0.69	-0.67	-0.45	-0.49	-0.25	-0.32	-0.62	0.75	-0.07	-0.56	-0.36	-0.06	-0.42	-0.04	0.07	-0.1	-0.29	-0.67	0.12	-0.38	0.58	0.45	0.14	0.28	0.12	-0.17	-0.38	-0.43	0.01	-0.49	-0.04	0.08	-0.2	0.23	-0.14	-0.42	0.08	0.57	-0.15	-0.32	-0.42	0.18	0.04
S000002266	-0.43	-0.1	-0.42	-0.22	-0.36	0.03	-0.34	0.04	0.1	0.07	-0.12	-0.29	-0.29	-0.27	-0.42	-0.01	-0.15	-0.04	-0.14	-0.17	0.29	-0.49	-0.09	-0.09	-0.14	-0.18	-0.3	-0.09	-0.04	-0.34	-0.49	0.04	0.07	0.01	0.1	-0.09	-0.18	-0.2	-0.25	-0.38	-0.23	-0.15	-0.25	0.59	-0.1	-0.32	-0.12	0.08	-0.07	0.07	0.29	0.08	-0.27	-0.64		-0.62	0.11	0.21	-0.14	0.53	0.16	-0.62	-0.27	-0.42		-0.22	-0.14	-0.09	-0.4	0.21	-0.3	-0.32	-0.1	0.28	0.18	-0.1	-0.32	0.07	-0.43
S000000811	0.36	0.4	0.28	0.2	0.45	0.2	0.38	0.24	0.19	-0.09	0.08	-0.2	0.37	-0.29	0.3	-0.23	0.5	-0.29	-0.22	-0.2	-0.04	-0.2	0.34	0.36	0.33	0.29		-0.25	0.4	0.15	-0.18	0.07	-0.07	0.04	0.3	0.49	0.57	0.4	0.37	0.38	0.03	0.14	0.4	-0.67	-0.04	-0.2	0.06	-0.06	0.21		1.14	0.75	0.46	-0.34	0.31	-0.4	0.18	0.32	-0.06	0.11	-0.56	-1.18	-0.27	-0.71	0.49	-0.42	-0.03	-0.58	0.12	0.23	-0.56	-0.6	0.18	0.07	0.37	0.04	0.28	-0.4	-1.43
S000000628	0.67	-0.22	0.21	0.12	0.45	0.48	0.18	0.15	0.03	0.23	0.24	-0.32	0.06	-0.18	0.26	0.43	0.29	0.69	-0.09	-0.2	-0.14	-0.64	-0.32	-0.62	-0.6	-0.1	0.21	-0.01	-0.49	0.07	0.19	-0.3	-0.01	0.29	-0.29	-0.36	-0.81	-0.79	0.07	0.23	-0.03	-0.58	-0.09	-0.54	-0.81	0.54	-0.22		-0.23	0.25	0.4	0.59	0.42	-0.38	0.11	-0.09	-0.12	-0.03	-0.12		-0.45	-0.56	-0.09	0.01	-0.12	-0.42	-0.34	-0.22	-0.06	-0.67	-0.1	-0.71	0.14	0.1	0.08	-0.15	-0.22	-0.58	-0.76
S000000409	-0.3	-0.84	-0.06	-0.3	-0.06	-0.47	-0.04	0.37	-0.25	-0.12	-0.3	0.11	-0.22	-0.4	-0.1	0.06	-0.2	0.53	0.46	-0.69	-0.6	-0.12	-0.49	-0.15	-0.09	0.58	0.53	0.34	-0.51	0.46	0.51	-0.01	0.18	0.08	0.15	0.04	0.01	-0.12	0.06		-0.15	-0.04	-0.04	-0.67	0.01	-0.14		-0.36	-0.06	-0.03	0.79	1.14	0.84	-0.23	0.5	0.43	0.29	-0.09	-0.25	-0.6	-0.58	-0.47	-0.23	-0.86	0.25	-0.84	-0.09	-0.22	-0.47	-0.86	-1.29	-1.56	0.15	-0.01	0.07	-0.04	-0.09	-0.25	-1
S000002324	0.01	-0.14	0.16	-0.25	0.28	-0.34	0.08	-0.2	-0.14	-0.27	0.23	-0.34		-0.18	-0.15	-0.12	-0.1		-0.4	-0.49	-0.51	-0.29	-0.29	-0.54	-0.18	-0.29	-0.25	-0.29	-0.18	-0.14	-0.3	-0.22	-0.49	0.03	0.24	-0.64	-0.38	-0.27	-0.69	0.44	0.15	-1.18	-0.64	0.41	-0.36	-0.45	-1.09	-0.32	0.34	0.39	0.89	0.74	0.19	-0.2	0.38	-0.07	0.6	0.07	-0.36	-0.74	-0.54	-0.18	-0.49	-0.45	-0.03	-0.36	-0.43	-0.45	-0.09	0.07	-0.69	-1.15	-0.14	-0.23	-0.2	-0.3	-0.22	-0.07	-0.56
S000005182		-0.6	-0.54	-0.42	0.3	0.41	0.44	-0.17	-0.15	-0.42	-0.36	-0.36	-0.01	-0.1	0.2	0.21	0.08	0.16	-0.18	-0.67	-0.71	-0.76	-0.29		-0.03	0.42	0.42	0.11	-0.1	0.18	0.07	-0.4	0.2	-0.04	0.11	-0.42	-0.54	-0.42	0.53	0.62	-0.4	-1.47	-0.42		-0.94	0.21	-0.38	-0.25	0.26	0.38	0.71	0.82	0.7	-0.43	-0.03	-0.06	0.42	0.1	-0.17	-0.2	-0.32	-0.4	-0.09	0.18	-0.04	-0.67	0.1	-0.4	-0.34	-0.3	0.37	-0.47	-0.01	0.19	-0.27	-0.45	-0.43	-0.09	-1.36
S000003837	-0.3	-0.67	-0.34	-0.38	0.2	0.01	0.51	0.11		-0.29	-0.56	-0.49	-0.06	-0.25	0.19	-0.07	0.28	-0.15	-0.64	-0.45	-0.6	-0.62	-0.3	0.03	0.03	0.28	0.28	0.01	0.19	0.21	0.04	-0.27	0.08	0.06	-0.22	-0.36	-0.23	-0.25	-0.17	0.83	-0.36	-0.43	-0.58	0.16	-0.32	-0.09	-0.34	-0.3	0.28	0.69	0.68	0.1	-0.36	-0.3	-0.22	-0.94	1.36	1.31	-0.47	-0.71	-0.56	-0.94	-0.09	-0.6	0.07	-0.25	0.01	0.06	0.03	-0.47	0.06	-0.69	-0.15	-0.25	-0.17	-0.36	-0.18	-0.43	-0.92
S000005372	-1.6	-1.15	-1.36	-1.03	-0.3	0.49	0.33	-0.04	-0.38	-0.84	-0.94	-1.12	-0.32	-0.42	0.34	-0.1	0.2	-0.04	0.15	-0.64	-0.71	-1.22	-0.79	-0.07	0.11	0.62	0.16	0.06	0.11	0.21		-0.42	-0.04	-0.12	-0.07	-0.62	-0.6	-0.32	0.28	0.75	-0.36	-1.22	-0.56		-0.56	-0.07	-0.36	-0.51	0.34	0.71	1.37	0.88	0.82	-0.71	0.32	-0.18	1.02	0.7	-0.23	-0.6	-0.89	-0.97	-0.36	-0.25	-0.01	-0.36	-0.18	-0.2	-0.27	-0.18	-0.45	-0.76	-0.3	-0.56	-0.17	-0.51	-0.3	-0.86	-0.92
S000005425	-0.15	-0.14	0.14	-0.12	-0.06	-0.29	0.11	-0.15		-0.23	-0.18	-0.32	0.01	-0.6	-0.07	-0.3	0.03	0.04	-0.07	-0.62	-0.32	-0.45	0.14	-0.07	-0.49	-0.23		-0.25	-0.07	-0.15	-0.18	-0.12	-0.84	-0.69	-0.29	-0.09	-0.25	-0.27	-0.03	0.08	0.14	-0.03	-0.49	-1.09	0.32	0.41	0.5	-0.56	-0.17	0.56	1.64	1.07	0.62	-0.84	0.62	-0.3	-0.15	0.63	-0.34	-0.29	-0.56	-0.6	-0.84	-1.06	0.16	0.1	-0.06	-0.38	-0.84	-0.32	-0.64	-1.03	-0.2	-0.25	-0.43	-0.49	-0.54	-0.84	-1.47
S000005417	0.15	-0.25	-0.36	-0.22	-0.03	-0.03	0.44	0.03	-0.03	-0.12	-0.34	-0.29	-0.01	-0.4		-0.43	-0.36	0.21	0.08	-0.58	-0.22	-0.62	0.07	0.11	-0.32	0.15	-0.17	-0.25	0.1	-0.03	-0.14	-0.09	-0.4	-0.01	0.33	0.28	-0.06	-0.01	-0.32	-0.14	0.04	0.18	0.07	-1.06	0.12	0.01	0.07	-0.47	-0.22	0.14	1.1	0.49	-0.17	-0.67	0.32	-1.06	-0.23	0.45	-0.27	-0.97	-0.43	-0.22	-0.89	-0.62	0.08		0.03	-0.22	-0.76	-0.12	-0.34	-0.79	-0.29	-0.38	-0.1	-0.07	-0.34	-0.09	-0.86
S000001376	0.12	0.23	-0.22	-0.15	-0.67	-0.25	-0.64	-0.64	-0.47	-0.49	-0.36	-0.47	-0.12	-0.6	-0.49	-0.51	-0.54	-0.51	0.37	-0.15	0.07	-0.38	-0.54	-0.45	-0.62	-0.34	0.03	-0.23	0.16	0.32		0.2	-0.25	-0.29	-0.79	-0.67	-1.09	-0.47	-0.14	0.03	-0.09	-0.74	-0.56	0.25	-0.74	-0.42	-0.45	-0.03	-0.03	0.43	1.08	0.58	0.63	-0.47	0.56	-0.18	-0.04	0.36	-0.22	0.03	-0.17	-0.58	-0.81	-0.71	-0.17	-0.18	-0.45	-0.6	-0.38	0.03	-0.3	-0.43	-0.15	-0.2	0.4	0.07	-0.4	0.14	-0.69
S000004075	-0.04	-0.32	-0.25		0.21	-0.06	0.04	-0.03	-0.22	-0.23	-0.15	-0.04	-0.09	-0.18		0.03	-0.17	-0.1	-0.34	-0.1	-0.32	-0.58	-0.29	-0.23	-0.1	-0.25	-0.17	-0.29	-0.12	-0.04	-0.23	-0.36	-0.04	0.21	0.23	-0.25	0.04		0.06	0.4	-0.17	-0.04	-0.1	0.03	0.04	-0.1	-0.17	-0.42	0.1	0.31	0.48	0.34	0.15	-0.32	-0.04	-0.54	0.32	0.8	1.02	-0.64	-0.92	-0.6	-0.36	-0.29	-0.1	-0.38	-0.47	-0.6	-0.22	-0.62	-0.14	-0.81	0.01	0.12	0.39	-0.15	-0.01	0.12	-0.38
S000000337	-0.22	-0.86	-0.45	-0.56	-0.06	-0.06	-0.18	0.45	-0.3	-0.34	-0.15	-0.06	-0.06	0.08	0.24	0.21	0.06	-0.2	-0.69	-0.6	-0.79	-0.84	-0.49	-0.67	-0.69	-0.12	-0.03	-0.03	-0.47			-0.17	0.25	-0.47	-0.34	0.06	0.19	0.14	-0.47	0.18	-0.17	-0.07	-0.14	-0.2	-0.2	-0.3	-0.3	-0.22	0.58	0.61	1.01	0.91	0.36	-0.04	0.31	-0.01	0.85	0.61	-0.12	-0.29	0.72	-0.79	0.19	-0.69	-0.3	-0.64	-0.29	-0.58	0.11	-0.38	-0.09	-0.94	0.25	0.36	0.29	-0.47	-0.42	-1.18	-0.49
S000005904	-0.07	-0.81	-0.69	-1	-0.2	0.23	-0.06	-0.27	-0.25	-0.42	-0.27	-0.4	-0.12	-0.07	-0.07	-0.27		-0.06	0.5	-0.47	-0.43	-0.64	-0.62	-0.51	-0.34	-0.36	-0.43	-0.43	-0.42	-0.06	-0.36	-0.51	-0.64	-0.3	-0.81	-0.49	-0.23	-0.04	-0.01	0.04	-0.22	-0.45	-0.17	0.58	0.92	0.67	0.74	-0.43	0.7	0.31	1.09	1.08	0.59	-0.14	0.3	-0.29	0.72	0.53	-0.1	-0.32	-0.4	-0.47	0.28	0.14	-0.27	-1.25	-0.86	-0.81	-0.04	0.14	-0.92	-0.36	0.16	0.23	0.12	-1	-0.81	-0.2	-0.47
S000004481	-0.4	-0.3	-0.58	-0.09	-0.32	-0.03	-0.04	-0.25	-0.2	-0.38	-0.45	-0.32	0.01	-0.43	-0.42	-0.43	-0.2	-0.32	-0.25	0.04	-0.4	0.12	0.23	0.23		0.04	-1.47	0.16	0.28	0.1	-0.18	0.24	-0.86	-0.84	-0.47	0.01	0.32	0.15	-0.27	0.15	-0.01	0.03	0.25	-0.94	-0.42	-0.54	-0.45	-0.1	0.66	0.03	-0.06	-0.15	-0.38	0.4	-0.92	-0.23	0.84	0.19	-0.18	-0.76	-0.27	-0.51	-0.23	-0.12	0.06	-0.51	-0.22	-0.14	-0.23	0.04	-0.4	-0.3	-0.38	0.01	0.76	0.03	0.07	0.19	-0.64
S000005311	-0.67	-0.23	-0.1	0.24	-0.18	0.29	0.2	-0.2	-0.22	-0.14	-0.6	-0.42	-0.23	-0.25	0.11	-0.27	0.07	-0.17	-0.15	-0.18	-0.34	-0.29	-0.22	-0.12	0.24	0.39	0.4	0.33	0.32	0.19	-0.07	0.14	-0.01	0.18	0.18	0.94	0.44	0.29	-0.15	0.16	1.2	0.74	0.26	0.53	-0.17	-0.25	-0.14	-0.56	0.32	0.1	-0.04	-0.12	-0.29	0.38	-0.25	-0.89	0.68	0.59	-0.25	-0.07	-0.29	-0.86	-0.42	0.08	-0.03	-0.34	-0.4	-0.43	-0.3	0.44	-0.74	0.14	-0.14	-0.32	-0.43	-0.32	-0.47	-0.14	-0.71
S000000757	-0.23	-0.38	-0.14	-0.29	-0.15	-0.06	0.14	0.42	0.18	0.54	-0.04	0.08	-0.12	-0.27	0.15	0.08	0.59	0.25	-0.03	-0.03	-0.3	0.39	0.16	0.25	0.4	0.33	0.32	0.18	0.03	0.21	0.18	0.23	0.23	0.11	0.2	0.28	0.69	0.79	0.57	0.21	0.24	0.58	0.87	-0.18	0.87	0.6	0.76	-0.18	0.06	-0.15		-0.38	-0.2	-0.15	-0.34	-0.38	0.12	-0.15	-0.62	-0.76	-0.49	-0.94	-0.56	-0.09	0.42	0.26	-0.58	-0.62	-0.54	0.06	-0.51	-0.4	0.08	0.1	0.16	-0.17	-0.43	-1.22	-0.84
S000003026	-0.2	0.04	-0.4	-0.06	-0.43	0.11	-0.34	0.12	0.01	0.01	-0.1	-0.09		-0.06	-0.22	0.01	-0.09	-0.01	0.59	0.06	0.4	-0.03	0.28	0.26	0.28	0.11	0.14	0.14	0.28	-0.06	0.15	0.28	0.39	0.37	0.08	0.23	0.06	0.19	0.3	0.34	0.08	0.64	0.55	0.4	0.93	0.61	0.78	-0.09	-0.32	-0.3	-0.76	-0.62	-0.89	-0.06	-0.45	-0.92	-0.15	0.24	-0.06	-0.27	-0.38	-0.43	-0.56		-0.04	0.08	-0.15	-0.22	-0.56	-0.18	-0.32	0.16	-0.04	0.08	-0.04	-0.36	-0.38	-0.58	-0.89
S000005236	0.07	-0.6	-0.15	0.01	0.18	-0.18	0.23	0.07	0.03	-0.03	0.06	0.04	0.07	-0.22	-0.1	-0.27	-0.29	0.14	0.16	-0.2	-0.4	0.11	0.4	0.24	0.43		-0.42	-0.22	-0.1	-0.17	-0.47	-0.22	-0.04	-0.12	-0.07	-0.62	-0.6	-0.32	0.28	0.75	-0.36	-1.22	-0.56		-0.56	-0.07	-0.36	-0.58	-0.14	0.2	-0.58	-0.94	-0.79	-0.43	-1	-1.12	-0.42	-0.74	-0.29	-1.6	-0.56	0.73	-0.47	0.06	0.15	0.04	-0.25	-0.62	-0.32	0.25	-0.38	-0.01	-0.04	-0.2	-0.03	-0.29	-0.42	-0.97	-1.43
S000002289	-0.15	0.1	-0.18	-0.07	-0.18	0.03	0.12	0.04	0.24	0.45	0.48	0.4	0.3	0.16	0.36	0.15	0.24	0.1	-0.79	0.23	-0.15	0.53	0.5	0.36	0.18	0.18	-0.03	0.28	0.04	-0.23	-0.29	0.04	-0.12	0.01	0.03	0.23	0.18	0.11	0.15	-0.15	-0.29	-0.27	-0.01	-0.2	0.19	0.07	0.36	0.11	0.4		-0.67	-0.6	0.04	0.3	-0.84	0.08		-0.07	-0.15	-1.32	-0.94	-0.27	-0.07	0.1	0.9	0.07	-0.23	-0.27	0.01	-0.51	-0.03	-0.89	0.38	-0.04	-0.56	-1.15	-0.42	-1.94	-1.47
